Word	Freq
reeds	972
koste	970
maatskaplike	970
eie	969
doel	968
seker	964
program	957
i	955
facilities	954
asook	939
grondwet	939
weet	934
the	932
ontwikkel	927
veral	922
verband	916
dae	912
iemand	908
kennis	905
verkry	905
sekere	897
proses	890
verwys	887
betrekking	884
sake	883
goeie	882
naam	881
ondersoek	880
mnr	877
services	877
f	874
belangrik	872
uitvoerende	872
hom	870
voorsiening	870
waarom	870
vanaf	868
mediese	862
beheer	861
munisipale	861
gemeenskappe	857
geneem	857
voltooi	847
dien	845
versoek	840
beteken	839
bestaan	836
bied	832
maande	832
persone	831
sodat	830
vereis	830
projek	826
vergadering	826
produsente	822
sien	818
terwyl	814
bly	811
staan	811
waarin	809
mens	807
bedryf	800
voorkom	797
beampte	796
hier	791
beleid	789
sou	784
skool	780
wyse	780
weer	778
daarop	777
bring	776
wetgewing	774
opleiding	773
dag	772
eiendom	772
verantwoordelik	767
dus	766
lewer	766
volledige	766
gehou	763
skep	755
nadat	753
omgewing	748
oorweeg	747
besoek	746
subartikel	746
werkgewer	745
eis	744
groei	741
hanteer	738
verskillende	735
voldoen	735
verskeie	731
sowel	722
gegee	718
kaapstad	718
huidige	710
totale	704
gestel	702
plek	695
goed	694
geregistreer	690
miljoen	690
lewe	688
personeel	687
volle	683
dieselfde	682
internasionale	680
veroorsaak	680
vyf	679
gebiede	678
projekte	678
g	677
bereik	676
no	676
kennisgewing	670
rol	670
onderneming	669
aantal	667
algemene	666
saak	662
bevorder	660
keer	658
boere	656
spesifieke	653
stad	650
tans	649
wes-kaapse	649
raak	646
uitgereik	646
buitelandse	641
parlement	638
gesondheid	637
bv	634
geleentheid	629
verdere	629
spesiale	625
afdeling	624
minder	623
huis	616
skole	614
maatskappy	613
meeste	613
nwu	611
prof	611
vier	611
belangrike	607
aanvaar	605
komitee	605
toegeken	602
beste	601
gratis	601
bydrae	600
skakel	599
altyd	598
ter	597
beter	596
werknemers	595
bewys	594
werkers	590
munisipaliteite	587
tree	587
ooreenkoms	582
vuurwapen	582
vraag	581
waarde	581
president	578
verantwoordelike	578
hoeveel	575
swart	575
kommersiële	574
opgawe	573
tb	573
bepalings	571
siekte	571
behandeling	570
verlies	568
vervoer	566
aangedui	564
sommige	564
ouer	563
verkoop	562
ondersteun	559
onderwys	559
praat	558
ingestel	557
vul	557
verleen	556
asseblief	552
goedgekeur	552
bekend	551
gewoonlik	549
selfs	549
manier	548
hospitaal	547
begroting	546
verklaring	546
kantoor	545
kon	545
fonds	544
kontrak	543
verantwoordelikheid	542
eienaar	540
leerders	540
basiese	539
dra	539
publiek	539
bou	538
verder	538
ii	537
or	533
tersaaklike	533
belang	531
polisiebeampte	531
beoog	529
probleme	529
besit	528
permit	528
plan	525
steeds	524
klein	523
betaling	522
ondernemings	522
navorsing	521
ondersteuning	521
verklaar	519
sorg	518
toestemming	518
programme	517
vind	517
aansoeke	516
lisensie	515
waarvan	514
wetgewer	514
amptelike	512
beskerm	512
groter	511
bestaande	509
lei	509
ses	507
verslag	507
ouers	506
party	506
s	505
seksuele	504
strategiese	504
woon	504
waarvoor	503
kragtens	502
berading	501
huurder	501
gehad	500
anders	498
stappe	497
vandag	497
middel	496
your_gov	496
ingedien	495
beide	494
h	492
lê	492
vlak	491
werker	491
tolk	490
sertifikaat	489
toepaslike	488
hoë	487
hele	485
dikwels	484
verminder	484
and	483
gems	483
insluitend	483
omstandighede	480
behoeftes	476
verlede	475
gebeur	474
self	474
aansoekvorm	472
beskou	472
hulpbronne	472
vorige	472
bates	470
aangesien	469
verander	469
onderhoud	468
produk	468
verhoog	468
wêreld	467
verstrek	466
dr	465
partye	465
beperk	464
nodige	463
provinsies	463
kontak	462
voorwaardes	462
gelys	461
insluit	461
genoem	460
julle	460
gevalle	456
groep	456
toerusting	455
studente	454
voorgeskrewe	454
voorsitter	454
ekonomie	453
ongeveer	453
weens	453
maand	452
bevat	451
registreer	451
werking	451
daarom	449
dui	449
afr	448
ondergaan	448
uitgawes	447
getal	445
hulp	443
naaste	443
universiteit	443
baba	442
dokumente	442
toerisme	441
kliniek	438
steun	438
kliek	437
direkteur	436
aangebied	435
daarna	433
lank	432
samewerking	432
stelsel	431
teenoor	431
behandel	430
menslike	430
afgelope	429
aard	428
speel	427
aandag	426
bedoel	425
funksies	423
gesê	423
jaarlikse	423
registrasie	422
skema	422
toekoms	422
handel	421
hoof	421
dokument	420
plaasvind	420
aansoekers	419
lys	419
bykomende	418
implementering	418
bevordering	417
buite	417
skryf	416
toekenning	416
wel	413
jare	412
misdryf	412
paar	411
sapd	410
aanslag	408
hoekom	408
misdaad	408
produkte	408
veiligheid	408
verstaan	408
ens	407
voordele	407
werknemer	405
later	404
taal	404
skuldig	403
eers	402
siektes	402
tweede	400
premier	399
dalk	397
polisiestasie	397
aangestel	395
behalwe	395
besmet	395
hoër	394
organisasies	394
plaaswerkers	394
besigheid	392
permanente	392
produsent	392
miv-toets	391
voertuig	389
vereistes	388
ooreenstemming	387
bedrae	385
gelewer	385
ingesluit	385
kos	385
verteenwoordig	385
weke	385
administrasie	384
belasting	384
bevestig	381
invul	381
sit	381
doelwitte	380
opdoen	380
perseel	380
stuur	379
aangewese	378
redes	378
lande	377
drukskrif	376
oortreding	375
tale	375
regulasies	374
magtiging	373
onderteken	373
organisasie	373
republiek	373
rede	372
directories	371
lig	371
hoeveelheid	370
toon	370
duur	369
moes	369
o	369
ouderdom	369
daarvoor	368
plant	368
verwerk	368
afrika	367
afrikaans	367
benodig	367
adres	364
aktiwiteite	364
beplan	364
fondse	364
beplanning	363
volhoubare	363
uur	362
vermoë	362
politieke	361
posisie	361
voordeel	360
geleenthede	359
gestuur	359
prys	359
genoeg	358
bystand	357
vaardighede	357
uitdagings	356
fisiese	355
stand	355
verskyn	355
kompetisie	354
onthou	354
verskil	354
wetsontwerp	354
loop	353
besig	352
pad	352
probeer	351
tensy	351
grootste	350
vergoeding	350
engels	349
voorheen	349
bekom	347
leer	347
x	347
me	346
pas	344
skriftelike	344
optrede	343
poskode	343
sosiale	343
desember	342
doeltreffende	342
gevra	342
duidelik	341
persoonlike	340
bespreek	339
for	338
rente	338
hande	337
ingevul	337
stem	337
vaste	337
algemeen	336
familie	336
week	336
hektaar	334
sa	333
tipe	333
polisie	332
boerdery	331
za	331
bepaalde	330
sektor	330
afskrif	329
voer	329
antwoord	328
erken	328
goedkeuring	328
infrastruktuur	328
verwag	327
voedsel	327
status	326
ooreenkomstig	325
want	325
gesag	324
geïntegreerde	324
lees	324
oop	324
dood	323
namens	323
ag	322
dokter	322
gedeelte	322
gevaar	322
l	322
probleem	322
aangegaan	321
optree	321
beskerming	320
geraak	320
onderneem	320
versprei	320
voertuie	320
webwerf	320
gebou	319
seks	319
vervang	319
klousule	318
uiteengesit	318
m	317
nooit	317
de	316
medisyne	316
behoefte	315
min	315
natuurlike	315
beskrywing	314
elk	314
kommissie	314
glo	313
óf	313
opgestel	312
geregistreerde	311
skriftelik	311
volg	311
minstens	310
sedert	309
soort	308
to	308
april	307
dinge	307
koop	307
vanjaar	307
boer	306
handtekening	306
posadres	306
private	306
toegelaat	306
direk	305
liggaam	305
versuim	305
deelname	304
departemente	304
feit	304
oorgedra	304
j	303
kliënte	303
mees	302
toets	302
diegene	301
plante	301
primêre	301
noordwes-universiteit	300
bylae	299
leef	299
terug	299
dink	298
graad	298
ontwerp	298
sukses	298
aangebring	297
ernstige	297
gesien	297
maatskappye	297
mekaar	296
ná	296
verandering	296
verkiesing	296
doeleindes	295
arbeid	294
armoede	294
beskik	294
bewus	294
hoop	294
vlakke	294
area	293
graan	293
moontlike	293
instelling	292
trust	292
bestuurder	291
geleë	291
maatreëls	291
positief	291
graag	290
let	289
verbind	289
geniet	287
kategorie	287
ontstaan	287
bydraes	286
gebring	286
totdat	286
veilige	286
verdien	286
fokus	285
tegnologie	285
alles	283
diere	283
gewees	283
prestasie	283
saad	283
rekords	282
ongeluk	281
owerheid	281
skedule	281
aspekte	280
teken	280
val	280
geskep	279
uitgevoer	279
aanstelling	278
houer	278
inwoners	278
v	278
vas	278
produksie	277
skade	277
aandui	276
gemik	276
gewas	276
herstel	276
bereken	275
gereeld	275
iets	275
voel	275
januarie	274
planne	274
verrig	274
geboorte	273
naamlik	273
elkeen	272
kort	272
sulke	272
weg	272
toestande	271
voorletters	271
woorde	271
binnelandse	270
goedere	270
instellings	270
kies	270
oordrag	269
verhuurder	269
wins	269
bevind	268
derde	268
maart	268
verduidelik	268
vissery	268
bate	267
miv-positief	267
poging	267
reëls	267
aangeleenthede	266
hoofsaaklik	266
stadium	266
belange	265
gebaseer	265
krag	265
kaapse	264
langer	264
mate	264
onderskeie	264
bestee	263
risiko	263
sars	263
verwante	263
aangeleentheid	262
vennootskap	262
oorspronklike	261
pasiënte	261
verkies	261
werkgewers	261
geplaas	260
plekke	260
fasiliteit	259
ken	259
regtehouers	259
samelewing	259
spesifiek	259
bronne	258
geskiedenis	258
lyk	258
swak	258
daarin	257
daartoe	257
name	257
uitstaande	257
verhouding	257
vriende	257
bewyse	256
materiaal	256
suid-afrikaners	256
aanstel	255
basis	255
bron	255
gehalte	255
kwessies	255
oba	255
verwysing	255
insluitende	254
onlangs	254
redelike	254
waarna	254
werksgeleenthede	254
aangewend	253
vordering	253
kommissaris	252
sterk	252
wys	252
belangrikste	251
hospitale	251
huurkontrak	251
burgers	250
dis	250
landelike	250
nwu-news	250
oorskry	250
w	250
afrikaanse	249
oes	249
virus	249
keuse	248
talle	248
pos	247
tye	247
public_info	246
bladsy	245
funksie	245
speaker	245
elektrisiteit	244
erkenning	244
jong	244
kultuur	244
moedig	244
potchefstroomkampus	244
vorms	244
www	244
hoef	243
laaste	243
uys	243
druk	242
geword	242
middels	242
suksesvolle	242
dele	241
eenheid	241
huur	241
rakende	241
aanbeveling	240
kommunikasie	240
tydelike	240
vanuit	239
vertel	239
voldoende	239
weier	239
ton	238
artikels	237
gesamentlike	237
klagte	237
professionele	237
verrigtinge	237
geag	236
groepe	236
masjinerie	236
toegestaan	236
verbinding	236
alleen	235
dek	235
finale	235
kliënt	235
identifiseer	234
senior	234
voorgeskryf	234
hoewel	233
lewende	233
tuiste	233
gewone	232
toestand	232
voorgelê	231
eerder	230
soms	230
sport	230
administratiewe	229
omtrent	229
terme	229
wette	229
bevel	228
aanmerking	227
kode	227
maklik	227
oktober	227
positiewe	227
tien	227
bo	226
geïdentifiseer	226
inbegrip	226
medikasie	226
moeder	226
orale	226
produseer	226
sodoende	226
soveel	226
swangerskap	226
voortgaan	226
betref	225
effektiewe	225
gewerk	225
sentrum	225
visie	225
augustus	223
inhoud	223
man	223
rolspelers	223
vergaderings	223
voorbeeld	223
dorp	222
julie	222
reël	222
werke	222
belegging	221
kommentaar	221
sodra	221
tegniese	221
behels	220
bepaling	220
enigeen	220
september	220
vrou	220
besluite	219
daaraan	219
impak	219
rekening	219
sewe	219
tel	219
chroniese	218
dienslewering	218
gelei	218
interne	218
ou	218
trek	218
verskeidenheid	218
brief	217
korrek	217
miv-besmetting	217
noodsaaklik	217
p	217
prosedures	217
totaal	217
uitvoer	217
amptenare	216
getoets	216
spreek	216
standaarde	216
verhoed	216
betaalbaar	215
normale	215
rondom	215
situasie	215
state	215
bruto	214
gesonde	214
suksesvol	214
behoorlik	213
eise	213
getuienis	213
grondslag	213
junie	213
lening	213
riglyne	213
teenwoordig	213
beïnvloed	212
gerig	212
jaarliks	212
komitees	212
maandelikse	212
pretoria	212
registrateur	212
aangewys	211
appèl	211
boete	211
kondome	211
waarmee	211
dogter	210
getuie	210
geweier	210
onmiddellik	210
befondsing	209
uitvoering	209
doelwit	207
gekry	207
kabinet	207
verspreiding	207
voormalige	207
direktoraat	206
skakelkode	206
bemagtiging	205
gekom	205
kulturele	205
verloor	205
geskrewe	204
hersien	204
jongmense	204
onderhewig	204
voorgestelde	204
afgehandel	203
agt	203
februarie	203
geweld	203
lang	203
mielies	203
paaie	203
vermeld	203
werkplek	203
drank	202
meld	202
plaasgevind	202
potchefstroom	202
veldtog	202
verbetering	202
verwyder	202
werklike	202
andere	201
howe	201
polisiediens	201
sekuriteit	201
toegepas	201
toekomstige	201
toetse	201
waarskynlik	201
geskikte	200
plase	200
tabel	200
trots	200
minste	199
hoor	198
huise	198
naby	198
waaronder	198
benadeelde	197
moenie	197
rig	197
skuld	197
vuurwapens	197
daaroor	196
faktore	196
huishoudelike	196
kanker	196
kwalifiseer	196
mark	196
specified	196
toelaat	196
behuising	195
bemarking	195
bogenoemde	195
deelnemers	195
gereelde	195
rekord	195
tersiêre	195
belasbare	194
berekening	194
bevoegdhede	194
lewens	194
miv-positiewe	194
pligte	194
vestig	194
agter	193
korporasie	193
nee	193
publikasies	193
raamwerk	193
reeks	193
opstel	192
privaat	192
beweeg	191
demokrasie	191
getoon	191
iii	191
maksimum	191
maniere	191
mei	191
staatsdiens	191
terselfdertyd	191
dankie	190
minimum	190
persal-nommer	190
sowat	190
strategie	190
voort	190
deelneem	189
enkele	189
hoofstuk	189
siek	189
wetenskap	189
amp	188
formele	188
foto	188
mening	188
meter	188
pogings	188
termyn	188
aftrekking	187
pulaimvula	187
vermy	187
vroeë	187
item	186
miv-status	186
naln	186
seisoen	186
svwr	186
uitwerking	186
veel	186
veilig	186
belê	185
gewasse	185
gou	185
oorleg	185
sektore	185
tekort	185
toename	185
onafhanklike	184
versekering	184
beskryf	183
gevaarlike	183
individue	183
instel	183
verteenwoordigers	183
behoorlike	182
doeltreffend	182
finansies	182
praktiese	182
streek	182
teenwoordigheid	182
begunstigdes	181
geheel	181
kant	181
opbrengs	181
publikasie	181
verantwoordelikhede	181
alhoewel	180
korrekte	180
kwaliteit	180
niemand	180
oorhandig	180
reis	180
slawe	180
struktuur	180
verval	180
werklik	180
bedrywighede	179
geregtig	179
onderrig	179
mmw	178
voeding	178
wysiging	178
albei	177
fase	177
hand	177
klinieke	177
opgeneem	177
plig	177
pubs	177
toesig	177
wissel	177
afhanklikes	176
ernstig	176
gereed	176
inisiatief	176
uitreik	176
verbruik	176
entiteite	175
mans	175
omvattende	175
burger	174
gestig	174
hang	174
korporatiewe	174
salarisse	174
uitgesluit	174
versterk	174
beroep	173
betreffende	173
gestremdhede	173
k	173
lidmaatskap	173
oorweging	173
vriendin	173
afhanklik	172
beslote	172
beëdigde	172
hiervan	172
hoogste	172
omgewingsake	172
omskryf	172
opkomende	172
wysig	172
bevoegdheid	171
bydra	171
gepubliseer	171
items	171
kapasiteit	171
vestiging	171
behou	170
beskikbare	170
gebrek	170
ingelig	170
lewering	170
res	170
verslae	170
ervaar	169
gelede	169
implementeer	169
inheemse	169
langtermyn	169
uitslag	169
vooraf	169
voorlê	169
behaal	168
geboue	168
gespesialiseerde	168
hieronder	168
vennootskappe	168
beskadig	167
boekjaar	167
institusionele	167
plaaswerker	167
prosedure	167
soek	167
strukture	167
trv's	167
vereiste	167
volledig	167
aanleiding	166
bewaar	166
biblioteke	166
instandhouding	166
langs	166
verskaffing	166
afval	165
gelyke	165
geskied	165
meerderheid	165
ooreenkomste	165
opdrag	165
stedelike	165
bedank	164
beperkte	164
faks	164
mishandeling	164
nasie	164
span	164
toelaes	164
addisionele	163
beskermingsbevel	163
gemiddelde	163
hierbo	163
individuele	163
omvang	163
onderworpe	163
uiteindelik	163
geldig	162
uiters	162
aangemeld	161
boek	161
boeke	161
geskryf	161
jeug	161
masels	161
poste	161
resultate	161
slaag	161
t	161
verdeel	161
verhoor	161
vervat	161
beginsels	160
besef	160
energie	160
landbousektor	160
ondervind	160
potensiële	160
strewe	160
uitdaging	160
unieke	160
aanmeld	159
benadering	159
demokratiese	159
kriminele	159
opgelei	159
pryse	159
tesourie	159
verpligtinge	159
versoeker	159
aangeneem	158
beëindig	158
hooggeregshof	158
jongste	158
kleiner	158
prioriteit	158
stap	158
taak	158
tradisionele	158
vader	158
vasgestel	158
verenigde	158
besondere	157
breë	157
bystaan	157
deposito	157
infeksies	157
leiding	157
vennote	157
werksaamhede	157
aanbevelings	156
areas	156
beskikking	156
huishoudings	156
moeilik	156
vals	156
besighede	155
betrokkenheid	155
daarmee	155
e-pos	155
gewysig	155
kapitaal	155
merk	155
toegewys	155
veranderings	155
aangepas	154
direkte	154
hetsy	154
huwelik	154
svwr-beampte	154
uitbreiding	154
verhaal	154
voorkoming	154
bloed	153
enigste	153
geëis	153
kunsmis	153
onderwysers	153
potensiaal	153
rang	153
visvangregte	153
cape	152
klagtes	152
onlangse	152
prosesse	152
sentrale	152
slagoffers	152
streef	152
aanbeveel	151
geldige	151
gelê	151
nader	151
skoon	151
terrein	151
vaartuie	151
verliese	151
gevolge	150
goedkeur	150
sekondêre	150
uitmaak	150
verbonde	150
bosbou	149
geografiese	149
geriewe	149
misbruik	149
oog	149
persent	149
persentasie	149
stryd	149
tesame	149
transformasie	149
uitgawe	149
verblyf	149
verbruikers	149
wetgewende	149
identiteitsdokument	148
opgradering	148
oud	148
standaard	148
stelsels	148
uitgebreide	148
advies	147
benut	147
ekstra	147
lae	147
mariene	147
ry	147
voorstel	147
bemagtig	146
gang	146
gepaste	146
jonger	146
niks	146
noem	146
ver	146
vryheid	146
vrywillige	146
aanbring	145
akademiese	145
behoudens	145
fasiliteite	145
insette	145
kwesbaar	145
los	145
lug	145
verkragting	145
vinnig	145
vroeër	145
vrywilligers	145
vuurwapenbeampte	145
enigiemand	144
families	144
instituut	144
invloed	144
kantore	144
owerhede	144
borsvoed	143
eienaars	143
onkruid	143
saamgestel	143
vol	143
betalings	142
evalueer	142
vasgestelde	142
du	141
gepleeg	141
hoog	141
toelae	141
verlang	141
aanbied	140
besering	140
funksioneer	140
gehoor	140
grondwetlike	140
hiermee	140
identiteitsnommer	140
indiensneming	140
kanse	140
tafel	140
fasiliteer	139
heeltemal	139
ondersoeke	139
seksueel	139
simptome	139
soortgelyke	139
subprogram	139
vis	139
vry	139
aanspreeklik	138
alternatiewe	138
besonder	138
buiteland	138
kaap	138
volwassenes	138
voog	138
wetenskaplike	138
bygedra	137
gevolglik	137
heffings	137
hersiening	137
laer	137
onderhou	137
beoordeel	136
beslis	136
deurlopend	136
distriksmunisipaliteit	136
erfenis	136
gees	136
geslag	136
klem	136
klere	136
systems	136
veranderinge	136
voorkoms	136
wou	136
gevind	135
kostes	135
nabye	135
ontwikkelende	135
paspoort	135
punte	135
stasiekommissaris	135
gereël	134
goedgekeurde	134
hoogstens	134
ly	134
negatiewe	134
november	134
ondervinding	134
onthul	134
pasiënt	134
slagoffer	134
studies	134
werkskepping	134
wit	134
beamptes	133
betrek	133
distrik	133
elektroniese	133
gevestig	133
ontvangs	133
aksie	132
anc	132
bedien	132
designed	132
enigiets	132
ervaring	132
kannaland	132
konferensie	132
kursusse	132
moniteer	132
paspoortnommer	132
polio	132
register	132
uiteensit	132
universiteite	132
aangaande	131
alkohol	131
beurse	131
getref	131
gevoer	131
grootte	131
kursus	131
monitering	131
nege	131
pleeg	131
spesies	131
tender	131
waaraan	131
afname	130
bevolking	130
blootstelling	130
daardeur	130
evaluering	130
periode	130
prokureur	130
vroeg	130
ware	130
weerspieël	130
belanghebbendes	129
beloop	129
besproeiing	129
bewaring	129
billike	129
gebore	129
gedek	129
gelang	129
hoof-	129
kategorieë	129
miskien	129
moeders	129
motor	129
oomblik	129
stapel	129
verbintenis	129
verlaag	129
waarby	129
wettige	129
aanranding	128
aktiewe	128
beweerde	128
geskik	128
geïmplementeer	128
mits	128
praktyk	128
toekennings	128
brei	127
duidelike	127
heg	127
ikapa	127
ma	127
nywerheid	127
ooit	127
opsie	127
ruimtelike	127
samestelling	127
werkloosheid	127
bekostig	126
dividende	126
e-posadres	126
geskil	126
klag	126
testament	126
trekker	126
vertroue	126
bank	125
daaglikse	125
gade	125
gelde	125
hernu	125
misdrywe	125
ure	125
vereniging	125
aanlyn	124
dokumentasie	124
eienaarskap	124
faksnommer	124
gesluit	124
prioriteite	124
relevante	124
strategieë	124
verkryging	124
wag	124
deeglik	123
eloff	123
kuns	123
natuurlik	123
opgelê	123
regerings	123
stowwe	123
waardeur	123
afskrifte	122
art	122
asma	122
immuunstelsel	122
kriteria	122
lêer	122
teen-retrovirale	122
terugbetaal	122
geslaag	121
hawe	121
implemente	121
reaksie	121
trekkers	121
trv-program	121
verlaat	121
via	121
visum	121
aangemoedig	120
beeld	120
beseer	120
departementele	120
direkteur-generaal	120
effektief	120
gesig	120
gesond	120
informele	120
kampus	120
markte	120
nagekom	120
aandring	119
brand	119
der	119
getroud	119
handeling	119
juis	119
km	119
monitor	119
onwettige	119
permitte	119
verkope	119
voorlopige	119
bywoon	118
gemerk	118
harde	118
public_entities	118
reageer	118
reik	118
reën	118
sitting	118
spuit	118
studie	118
waaroor	118
aankoop	117
afgevaardigdes	117
dorpe	117
eens	117
handhaaf	117
inisiatiewe	117
inwerkingtreding	117
konstitusionele	117
nommer	117
orde	117
punt	117
regter	117
verstryk	117
voortgesette	117
beperking	116
byna	116
forum	116
gesondheidsdienste	116
idee	116
iv	116
jouself	116
mee	116
sanitasie	116
selfoonnommer	116
subsidie	116
teenretrovirale	116
tenders	116
beantwoord	115
bewerkstellig	115
chemikalieë	115
entiteit	115
gedrag	115
grondsake	115
handves	115
klein-	115
mandaat	115
plattelandse	115
publications	115
risiko's	115
saps	115
swanger	115
tariewe	115
vaartuig	115
voeg	115
asof	114
burgerlike	114
dadelik	114
inlig	114
kapitale	114
media	114
oortreder	114
staatskoerant	114
terapie	114
toepaslik	114
verordeninge	114
aanneem	113
bestuurders	113
betyds	113
bygewoon	113
eet	113
gesondheidsorg	113
hantering	113
inkomstebelastingwet	113
verlore	113
vervaardig	113
beklee	112
biologiese	112
gids	112
opvoeding	112
toevallig	112
use	112
vaaldriehoekkampus	112
vanaand	112
vermelde	112
waterwese	112
aangaan	111
arm	111
boodskap	111
gelas	111
lur	111
maal	111
menseregte	111
missie	111
moeilike	111
servikale	111
strek	111
titel	111
verteenwoordiger	111
waardes	111
webtuiste	111
befonds	110
begrip	110
finansiering	110
gekies	110
kwessie	110
laag	110
lone	110
onkoste	110
oortredings	110
openbaar	110
oplossings	110
seksmaat	110
that	110
vrystaat	110
vrystelling	110
afdelings	109
bejaardes	109
chemiese	109
databasis	109
department	109
gemeenskaplike	109
historiese	109
ooreengekom	109
speelskool	109
begunstigde	108
beleggings	108
inhou	108
lenings	108
ligging	108
lisensiehouer	108
ongeskiktheid	108
sektorale	108
toetsing	108
vertoon	108
voorsittende	108
deelgeneem	107
equipment	107
geproduseer	107
haal	107
herstelwerk	107
koördineer	107
nr	107
syfers	107
aangespreek	106
be	106
bekende	106
data	106
gely	106
individu	106
kans	106
museum	106
ongeag	106
oopgemaak	106
saamwerk	106
stellenbosch	106
tref	106
verlof	106
voorberei	106
wbg	106
aangekoop	105
aangevra	105
act	105
elsenburg	105
gegrond	105
gelyk	105
getree	105
klaer	105
links	105
monsters	105
rigting	105
skenk	105
stig	105
toenemende	105
vermeerder	105
besteding	104
infeksie	104
instansie	104
intellektuele	104
kandidate	104
mediumgrootte	104
oë	104
personeellede	104
plus	104
raadslede	104
take	104
voldoening	104
welke	104
aangeheg	103
aanwending	103
an	103
besoekers	103
gebruikers	103
gemagtig	103
gt	103
hofbevel	103
inagneming	103
koers	103
leierskap	103
sover	103
verbruiker	103
verordening	103
verpligting	103
aktief	102
amptenaar	102
beklemtoon	102
bespreking	102
beswaar	102
elihlumayo	102
geplant	102
gevangenisstraf	102
identiteit	102
lyn	102
nakoming	102
soorte	102
staar	102
stokvis	102
versorg	102
verstande	102
vigstoets	102
vore	102
vrees	102
with	102
wysigings	102
aansoekvorms	101
beurs	101
blootgestel	101
boetes	101
diefstal	101
id	101
kollektiewe	101
konsep	101
oprigting	101
opvanggebied	101
rade	101
uitslae	101
verplig	101
ambassade	100
biblioteek	100
biodiversiteit	100
bloot	100
drink	100
eksterne	100
gesondheidsfasiliteit	100
gevare	100
homself	100
instem	100
ontwikkelings	100
persele	100
uitgebrei	100
welstand	100
werklikheid	100
woord	100
aktiwiteit	99
bande	99
bedrywe	99
beskuldigde	99
doeltreffendheid	99
gemiddeld	99
georganiseerde	99
ha	99
immuunrespons	99
klerk	99
landdros	99
onderwerpe	99
vang	99
vinniger	99
visserye	99
voltydse	99
aparte	98
berader	98
beskermer	98
eiendomme	98
gedagte	98
gevoel	98
grondhervorming	98
koring	98
leiers	98
onderhandel	98
oudit	98
publieke	98
salaris	98
sterf	98
teiken	98
tog	98
tuin	98
veranderlike	98
verkeer	98
voorts	98
waaruit	98
administreer	97
besmetting	97
bewustheid	97
droë	97
gekoppel	97
instansies	97
keur	97
minerale	97
onderwerp	97
operasionele	97
overberg	97
prestasies	97
said	97
stof	97
tevrede	97
verbeterde	97
vergesel	97
volhoubaar	97
aanvang	96
belanghebbende	96
damme	96
genooi	96
getuig	96
kontant	96
magte	96
olie	96
ongelukke	96
reeksnommer	96
regstreeks	96
